kode_prov,kode_bps_2010,kode_bps_2014_x,kode_bps_2019,name_prov,name_kab_2014,name_kab_2019,dapil_2019,dapil 2014,change_14_19,name_kab_2010,Islam,Kristen,Katolik,Hindu,Budha,Khong Hu Chu,Lainnya,Tidak Terjawab,Tidak Ditanyakan,Jumlah
12,1214,1214,1214,Sumatera Utara,Nias Selatan,Nias Selatan,Sumut-02,Sumut-02,No Change,Nias Selatan,7394,223843,58123,6,31,2,93,89,127,289708
12,1215,1215,1215,Sumatera Utara,Humbang Hasundutan,Humbang Hasundutan,Sumut-02,Sumut-02,No Change,Humbang Hasundutan,5165,142662,23410,0,2,0,90,2,319,171650
12,1216,1216,1216,Sumatera Utara,Pakpak Bharat,Pakpak Bharat,Sumut-03,Sumut-03,No Change,Pakpak Bharat,16161,23065,1223,0,0,0,0,0,56,40505
12,1217,1217,1217,Sumatera Utara,Samosir,Samosir,Sumut-02,Sumut-02,No Change,Samosir,1884,69947,47575,8,5,1,172,0,61,119653
12,1218,1218,1218,Sumatera Utara,Serdang Bedagai,Serdang Bedagai,Sumut-01,Sumut-01,No Change,Serdang Bedagai,497855,79502,8299,207,7264,43,57,672,484,594383
12,1219,1219,1219,Sumatera Utara,Batu Bara,Batu Bara,Sumut-03,Sumut-03,No Change,Batu Bara,330076,37757,5715,25,1100,40,268,4,900,375885
12,1220,1220,1220,Sumatera Utara,Padang Lawas Utara,Padang Lawas Utara,Sumut-02,Sumut-02,No Change,Padang Lawas Utara,200459,20838,832,3,12,0,8,0,1379,223531
12,1221,1221,1221,Sumatera Utara,Padang Lawas,Padang Lawas,Sumut-02,Sumut-02,No Change,Padang Lawas,213948,10777,379,0,5,0,2,0,148,225259
12,1222,1222,1222,Sumatera Utara,Labuhan Batu Selatan,Labuhan Batu Selatan,Sumut-02,Sumut-02,No Change,Labuhan Batu Selatan,238682,36870,1318,16,622,15,0,0,150,277673
12,1223,1223,1223,Sumatera Utara,Labuhan Batu Utara,Labuhan Batu Utara,Sumut-02,Sumut-02,No Change,Labuhan Batu Utara,271919,52492,4012,30,1801,9,10,0,428,330701
12,1224,1224,1224,Sumatera Utara,Nias Utara,Nias Utara,Sumut-02,Sumut-02,No Change,Nias Utara,6894,99529,20676,2,1,0,140,1,1,127244
12,1225,1225,1225,Sumatera Utara,Nias Barat,Nias Barat,Sumut-02,Sumut-02,No Change,Nias Barat,1621,64417,15740,2,12,1,11,1,2,81807
12,1271,1271,1271,Sumatera Utara,Sibolga,Sibolga,Sumut-02,Sumut-02,No Change,Kota Sibolga,48358,29729,3741,2,2512,14,9,0,116,84481
