kode_prov;kode_bps_2014;kode_bps_2019;name_prov;name_kab_2014;name_kab_2019;dapil_2019;dapil 2014;change_14_19
13;1307;1307;Sumatera Barat;Agam;Agam;Sumbar-02;Sumbar-02;No Change
13;1308;1308;Sumatera Barat;Limapuluh Kota;Limapuluh Kota;Sumbar-02;Sumbar-02;No Change
13;1309;1309;Sumatera Barat;Pasaman;Pasaman;Sumbar-02;Sumbar-02;No Change
13;1310;1310;Sumatera Barat;Solok Selatan;Solok Selatan;Sumbar-01;Sumbar-01;No Change
13;1311;1311;Sumatera Barat;Dharmas Raya;Dharmas Raya;Sumbar-01;Sumbar-01;No Change
13;1312;1312;Sumatera Barat;Pasaman Barat;Pasaman Barat;Sumbar-02;Sumbar-02;No Change
13;1371;1371;Sumatera Barat;Padang;Padang;Sumbar-01;Sumbar-01;No Change
13;1372;1372;Sumatera Barat;Solok;Solok;Sumbar-01;Sumbar-01;No Change
13;1373;1373;Sumatera Barat;Sawahlunto;Sawahlunto;Sumbar-01;Sumbar-01;No Change
13;1374;1374;Sumatera Barat;Padang Panjang;Padang Panjang;Sumbar-01;Sumbar-01;No Change
13;1375;1375;Sumatera Barat;Bukittinggi;Bukittinggi;Sumbar-02;Sumbar-02;No Change
13;1376;1376;Sumatera Barat;Payakumbuh;Payakumbuh;Sumbar-02;Sumbar-02;No Change
13;1377;1377;Sumatera Barat;Pariaman;Pariaman;Sumbar-02;Sumbar-02;No Change
14;1401;1401;Riau;Kuantan Singingi;Kuantan Singingi;Riau-02;Riau-02;No Change
14;1402;1402;Riau;Indragiri Hulu;Indragiri Hulu;Riau-02;Riau-02;No Change
14;1403;1403;Riau;Indragiri Hilir;Indragiri Hilir;Riau-02;Riau-02;No Change
14;1404;1404;Riau;Pelalawan;Pelalawan;Riau-02;Riau-02;No Change
14;1405;1405;Riau;Siak;Siak;Riau-01;Riau-01;No Change
14;1406;1406;Riau;Kampar;Kampar;Riau-02;Riau-02;No Change
14;1407;1407;Riau;Rokan Hulu;Rokan Hulu;Riau-01;Riau-01;No Change
14;1408;1408;Riau;Bengkalis;Bengkalis;Riau-01;Riau-01;No Change
14;1409;1409;Riau;Rokan Hilir;Rokan Hilir;Riau-01;Riau-01;No Change
14;1410;1410;Riau;Kepulauan Meranti;Kepulauan Meranti;Riau-01;Riau-01;No Change
14;1471;1471;Riau;Pekan Baru;Pekan Baru;Riau-01;Riau-01;No Change
14;1473;1473;Riau;Dumai;Dumai;Riau-01;Riau-01;No Change
15;1501;1501;Jambi;Kerinci;Kerinci;Jambi-at-large;Jambi-at-large;No Change
15;1502;1502;Jambi;Merangin;Merangin;Jambi-at-large;Jambi-at-large;No Change
15;1503;1503;Jambi;Sarolangun;Sarolangun;Jambi-at-large;Jambi-at-large;No Change
15;1504;1504;Jambi;Batanghari;Batanghari;Jambi-at-large;Jambi-at-large;No Change
15;1505;1505;Jambi;Muaro Jambi;Muaro Jambi;Jambi-at-large;Jambi-at-large;No Change
15;1506;1506;Jambi;Tanjung Jabung Timur;Tanjung Jabung Timur;Jambi-at-large;Jambi-at-large;No Change
15;1507;1507;Jambi;Tanjung Jabung Barat;Tanjung Jabung Barat;Jambi-at-large;Jambi-at-large;No Change
15;1508;1508;Jambi;Tebo;Tebo;Jambi-at-large;Jambi-at-large;No Change
15;1509;1509;Jambi;Bungo;Bungo;Jambi-at-large;Jambi-at-large;No Change
15;1571;1571;Jambi;Jambi;Jambi;Jambi-at-large;Jambi-at-large;No Change
15;1572;1572;Jambi;Sungai Penuh;Sungai Penuh;Jambi-at-large;Jambi-at-large;No Change
16;1601;1601;Sumatera Selatan;Ogan Komering Ulu;Ogan Komering Ulu;Sumsel-02;Sumsel-02;No Change
16;1602;1602;Sumatera Selatan;Ogan Komering Ilir;Ogan Komering Ilir;Sumsel-02;Sumsel-02;No Change
16;1603;1603;Sumatera Selatan;Muara Enim;Muara Enim;Sumsel-02;Sumsel-02;No Change
16;1604;1604;Sumatera Selatan;Lahat;Lahat;Sumsel-02;Sumsel-02;No Change
16;1605;1605;Sumatera Selatan;Musi Rawas;Musi Rawas;Sumsel-01;Sumsel-01;No Change
16;1606;1606;Sumatera Selatan;Musi Banyuasin;Musi Banyuasin;Sumsel-01;Sumsel-01;No Change
16;1607;1607;Sumatera Selatan;Banyuasin;Banyuasin;Sumsel-01;Sumsel-01;No Change
16;1608;1608;Sumatera Selatan;Ogan Komering Ulu Selatan;Ogan Komering Ulu Selatan;Sumsel-02;Sumsel-02;No Change
16;1609;1609;Sumatera Selatan;Ogan Komering Ulu Timur;Ogan Komering Ulu Timur;Sumsel-02;Sumsel-02;No Change
