kode_bps_2010,name_kab_2010,Islam,Kristen,Katolik,Hindu,Budha,Khong Hu Chu,Lainnya,Tidak Terjawab,Tidak Ditanyakan,Jumlah
9427,Supiori,201,15640,11,3,0,0,0,0,19,15874
9428,Mamberamo Raya,480,17855,29,0,0,1,0,0,0,18365
9429,Nduga,0,79053,0,0,0,0,0,0,0,79053
9430,Lanny Jaya,127,148282,113,0,0,0,0,0,0,148522
9431,Mamberamo Tengah,68,38797,672,0,0,0,0,0,0,39537
9432,Yalimo,64,50663,35,1,0,0,0,0,0,50763
9433,Puncak,293,92758,165,1,1,0,0,0,0,93218
9434,Dogiyai,642,32026,51550,7,1,2,2,0,0,84230
9435,Intan Jaya,61,26956,13473,0,0,0,0,0,0,40490
9436,Deiyai,455,38478,23162,0,0,0,0,0,24,62119
9471,Kota Jayapura,113133,127927,13423,526,608,12,0,0,1076,256705
